"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 17:41:58 GMT 2023","Wed Nov 29 17:41:58 GMT 2023","275","","projectApi._negativeTest.PostUpdateNegativeTest","","projectApi._negativeTest.PostUpdateNegativeTest","postPetIdWithoutFormData","Обновление данных питомца с несуществующим в DB id",""
"passed","Wed Nov 29 17:42:00 GMT 2023","Wed Nov 29 17:42:01 GMT 2023","234","","projectApi._positiveTest.PutPetTest","","projectApi._positiveTest.PutPetTest","putPetById","Обновление существующего в DB питомца",""
"passed","Wed Nov 29 17:41:57 GMT 2023","Wed Nov 29 17:41:58 GMT 2023","893","","projectApi._negativeTest.GetPetIdNegativeTest","","projectApi._negativeTest.GetPetIdNegativeTest","getFindByIdUnknownId","Запрос на получение данных о питомце с несуществующим в DB id",""
"passed","Wed Nov 29 17:41:54 GMT 2023","Wed Nov 29 17:41:57 GMT 2023","2490","","projectApi._negativeTest.DeletePetNegativeTest","","projectApi._negativeTest.DeletePetNegativeTest","deletingAPetForAnIDThatDoesNotExistInDB","Удаление питомца по несуществующему в DB id",""
"passed","Wed Nov 29 17:42:00 GMT 2023","Wed Nov 29 17:42:00 GMT 2023","397","","projectApi._positiveTest.PostUpdateAPetWithForm","","projectApi._positiveTest.PostUpdateAPetWithForm","updatesAPetInTheStoreWithFormData","Обновление имени и статуса питомца",""
"passed","Wed Nov 29 17:41:58 GMT 2023","Wed Nov 29 17:41:58 GMT 2023","139","","projectApi._negativeTest.PostAddNegativeTest","","projectApi._negativeTest.PostAddNegativeTest","postPetWithoutBody","Добавление нового питомца, без данных в теле запроса",""
"passed","Wed Nov 29 17:42:00 GMT 2023","Wed Nov 29 17:42:00 GMT 2023","143","","projectApi._positiveTest.PostAddNewPetTest","","projectApi._positiveTest.PostAddNewPetTest","addPetCorrectData","Добавление нового питомца в магазин",""
"passed","Wed Nov 29 17:41:59 GMT 2023","Wed Nov 29 17:42:00 GMT 2023","285","","projectApi._positiveTest.GetPetIdTest","","projectApi._positiveTest.GetPetIdTest","getPetById","Запрос на получение данных о питомце по id",""
"passed","Wed Nov 29 17:41:58 GMT 2023","Wed Nov 29 17:41:59 GMT 2023","1028","","projectApi._positiveTest.DeletePetTest","","projectApi._positiveTest.DeletePetTest","deletePetById","Удаление питомца по id и проверка, что данный питомец удалён из BD",""
"skipped","Wed Nov 29 17:41:58 GMT 2023","Wed Nov 29 17:41:58 GMT 2023","0","","projectApi._negativeTest.PutPetNegativeTest","","projectApi._negativeTest.PutPetNegativeTest","putPetInExist","Ошибка при попытке обновить несуществующее домашнее животное",""
